sold_date,price,beds,baths,area,lot_size,year_built,hoa_month,town,municipality,long,lat
2022-08-18,34500,2,1,840,0.01999540863177227,1984,,Ithaca,Ithaca city,-76.51226123603773,42.434285408618535
2022-06-01,370000,2,2,1637,0.31000918273645545,2015,,Ithaca,Ithaca city,-76.51232793136232,42.440087309637754
2022-07-11,410000,3,2,1940,1.9,2012,,Enfield,Unincorporated,-76.68881859380645,42.43111930284691
2022-08-18,147400,2,1,924,0.44699265381083564,1941,,Lansing,Unincorporated,-76.47247877769556,42.51974440090929
2022-04-07,405000,3,3,2071,0.3443526170798898,1976,,Ithaca,Unincorporated,-76.45561287722498,42.470338456524686
2022-04-21,440000,3,2.5,1805,0.45,1970,,Ithaca,Unincorporated,-76.47210529653418,42.47625239644008
2022-09-15,340000,2,2,2004,4.089990817263544,1982,,Lansing,Unincorporated,-76.56854411679114,42.564443493340924
2022-06-03,851000,4,4.5,4090,1.5399908172635446,1993,,Ithaca,Unincorporated,-76.53680081263651,42.45992482799769
2022-05-27,660000,5,3.5,3425,0.7,2012,,Ithaca,Unincorporated,-76.46806109152985,42.4014133991114
2022-03-23,140000,2,1,904,0.5699954086317722,1952,,Ithaca,Unincorporated,-76.46534832167674,42.46718315984811
2022-05-09,410000,4,2,1740,0.30300734618916436,1993,,Lansing,Lansing village,-76.48220978142407,42.48826924109879
2022-01-20,105000,3,2,1247,,1992,,Enfield,Unincorporated,-76.57852467139182,42.42378482226665
2022-04-08,180000,2,1,1686,5,1865,,Groton,Unincorporated,-76.37804790164931,42.609453740955956
2022-03-21,91500,2,1,1196,0.5,1885,,Groton,Unincorporated,-76.3691619282946,42.550465270276824
2022-05-10,365000,3,2.5,2112,1.629981634527089,1968,,Dryden,Unincorporated,-76.27664361592396,42.4671023776039
2022-10-26,830000,6,5,4458,2.6300045913682277,1970,,Ulysses,Unincorporated,-76.60015993949878,42.537015293072535
2022-06-29,176300,3,1,1202,0.7699954086317723,1950,,Newfield,Unincorporated,-76.58873151642955,42.35302362437371
2022-07-21,258353,3,1.5,1873,0.9600091827364554,1983,,Dryden,Unincorporated,-76.30600244058273,42.46241531557263
2022-09-12,80000,2,2,1366,,1910,,Ithaca,Ithaca city,-76.50257147037485,42.438363983096046
2022-07-25,400000,3,1.5,1440,0.08000459136822773,1920,,Ithaca,Ithaca city,-76.50454669992612,42.43442659647589
2022-06-01,270000,3,1,1092,0.06632231404958677,1910,,Ithaca,Ithaca city,-76.50145989151024,42.43268721816461
2022-08-15,291500,4,2,2745,1.0600091827364555,1955,,Dryden,Dryden village,-76.30664868999266,42.488827822188085
2022-05-12,424000,5,2.5,2328,0.13000459136822773,1901,,Ithaca,Ithaca city,-76.49681988163164,42.43580281087094
2022-07-01,460000,3,1.5,1659,0.15,1908,,Ithaca,Ithaca city,-76.4974282366953,42.43483230429612
2022-09-09,475000,3,1.5,1680,21,1900,,Ithaca,Unincorporated,-76.51044034782032,42.41841077699668
2022-07-11,202000,2,1,864,0.01999540863177227,1983,,Ithaca,Unincorporated,-76.46419856722532,42.42329106925946
2022-08-12,261000,4,2,2118,0.31000918273645545,1920,,Ithaca,Ithaca city,-76.5099772028012,42.425298358686334
2022-08-30,141687,3,1.5,1380,0.03000459136822773,2013,165,Ithaca,Unincorporated,-76.5045871757188,42.40818351717886
2022-06-01,515000,3,2.5,2049,0.7100091827364554,1989,,Ithaca,Unincorporated,-76.49510921475668,42.406661746518274
2022-09-14,60000,3,2,1233,0.25,1870,,Ulysses,Unincorporated,-76.61566283952824,42.509077355819805
2022-08-12,266000,3,2,2500,1.3,1966,,Enfield,Unincorporated,-76.6123377291635,42.46956475636039
2022-04-05,407500,5,3,1904,0.11999540863177227,1890,,Ithaca,Ithaca city,-76.4959116725109,42.44637193912
2022-06-14,575000,4,2.5,2416,2.8399908172635446,1971,,Dryden,Unincorporated,-76.42160670699793,42.45434244199893
2022-06-15,420000,4,2,1540,2,1951,,Dryden,Unincorporated,-76.40134671560928,42.4275714109014
2022-07-08,580000,4,4.5,4000,5,1880,,Dryden,Unincorporated,-76.41627357306093,42.42839232390623
2022-06-29,235000,2,1,1030,0.18999081726354453,1836,,Ulysses,Trumansburg village,-76.65379596179048,42.539568281179385
2022-03-24,260000,3,1,1144,1.6800045913682278,1991,,Ulysses,Unincorporated,-76.64380534246429,42.51865306309711
2022-08-15,592500,4,3,3107,3.05,2011,,Danby,Unincorporated,-76.43329700890493,42.39140042685566
2022-07-06,450000,2,2,1592,1.7300045913682278,1840,,Dryden,Unincorporated,-76.40075970542357,42.41104355087357
2022-09-16,450000,3,2.5,2635,0.7300045913682277,2005,,Dryden,Unincorporated,-76.44236254005914,42.43206150962168
2022-04-12,415000,2,2.5,1768,0.08000459136822773,1988,,Ithaca,Unincorporated,-76.47999126942076,42.40619064100966
2022-09-02,503000,4,3,2520,4.860009182736455,1963,,Ithaca,Unincorporated,-76.4552269006878,42.398610754545835
2022-10-07,675000,3,2,3042,5.230004591368227,2010,,Caroline,Unincorporated,-76.37804065187203,42.40050847593746
2022-04-19,460000,4,3,2363,3.4699954086317724,2017,,Dryden,Unincorporated,-76.366710375791385,42.43253412052878
2022-08-16,164900,2,1,1308,2.480004591368228,1980,,Dryden,Unincorporated,-76.3856418419888,42.42045389818157
2022-07-14,290000,3,2,1452,10.989990817263545,1973,,Dryden,Unincorporated,-76.38678860117153,42.42219497160386
2022-08-19,500000,5,3,3403,0.5199954086317723,2003,,Ithaca,Unincorporated,-76.53198408501405,42.43168967122391
2022-11-21,160000,5,2,2108,0.18000459136822775,1971,,Ithaca,Ithaca city,-76.5173450325501,42.44879633747957
2022-07-27,290000,3,2,2046,0.21000918273645547,1880,,Ithaca,Ithaca city,-76.51689534955258,42.4458030894014
2022-05-06,1650000,4,3.5,5296,3.4300045913682276,1995,,Lansing,Lansing village,-76.50535281425638,42.4843994564978
2022-12-28,249900,2,1,1104,0.029981634527089074,1974,367,Ithaca,Unincorporated,-76.47016067543944,42.431025234162114
2022-07-14,385000,3,2.5,1864,0.41999540863177226,1962,,Ithaca,Cayuga Heights village,-76.48039679806884,42.47512615336431
2022-09-30,649900,4,4,2920,0.6600091827364555,1938,,Ithaca,Cayuga Heights village,-76.48670676827025,42.46535413344825
2022-06-07,530000,3,2.5,2055,0.5800045913682277,1925,,Ithaca,Cayuga Heights village,-76.48672832694591,42.465736030540874
2022-03-07,630000,4,2.5,2314,0.3199954086317723,1926,,Ithaca,Cayuga Heights village,-76.48647923869798,42.46367851983838
2022-07-07,310000,4,1.5,1472,0.6199954086317723,2000,,Ithaca,Cayuga Heights village,-76.48130014580369,42.46969476467171
2022-04-12,305000,2,1.5,1478,2.5300045913682276,1984,,Caroline,Unincorporated,-76.41243735223168,42.35953812612818
2022-08-22,450000,2,1,820,,1920,,Ithaca,Unincorporated,-76.52442354014384,42.463881268806766
2022-08-24,724000,4,3,3418,1.4600091827364554,1997,,Lansing,Unincorporated,-76.51146038845202,42.52104176823113
2022-06-27,463000,4,2.5,2118,0.5899908172635445,1974,,Ithaca,Cayuga Heights village,-76.47619880509578,42.47274314928554
2022-06-24,485000,4,3,2422,0.4,1973,,Ithaca,Unincorporated,-76.47316938797124,42.475458052099796
2022-07-29,335900,3,1.5,1060,0.4100091827364555,1975,,Ithaca,Unincorporated,-76.47397832677824,42.4752098161156
2022-06-24,501000,3,1.5,1675,0.11999540863177227,1930,,Ithaca,Ithaca city,-76.4762719178869,42.43772500582926
2022-08-03,560000,4,2.5,2035,0.24299816345270892,1937,,Ithaca,Ithaca city,-76.47709481282536,42.43211459125632
2022-05-10,195000,1,1,905,0.4526629935720845,1805,,Dryden,Unincorporated,-76.45017795106823,42.47132525727035
2022-06-14,290000,3,1,953,0.5199954086317723,1959,,Ithaca,Unincorporated,-76.46500067576099,42.46719274062826
2022-08-15,462000,4,2.5,1968,0.6699954086317723,1939,,Ithaca,Unincorporated,-76.46447910278997,42.4701613270686
2022-07-15,291000,3,2,2290,0.9,1993,,Lansing,Unincorporated,-76.58772329407452,42.57906754636713
2022-09-20,348000,4,3,2034,1.8399908172635446,1950,,Ulysses,Unincorporated,-76.56145592525274,42.48034890962098
2022-04-22,215000,3,2,1456,2.980004591368228,2000,,Groton,Unincorporated,-76.32241522748204,42.60001045181285
2022-08-04,226700,3,3.5,1632,0.38000459136822773,1962,,Dryden,Unincorporated,-76.34609257517239,42.48671622298417
2022-09-07,525000,3,2,2139,,1930,,Ithaca,Ithaca city,-76.48065950035706,42.44002430352159
2022-03-30,330000,2,2,1480,0.23999081726354454,1915,,Ithaca,Ithaca city,-76.50179663429469,42.43274447602196
2022-06-02,515000,4,2.5,2916,0.5800045913682277,1990,,Ithaca,Unincorporated,-76.55465253316308,42.47765228480043
2022-08-01,369000,4,2,1950,1.6300045913682277,1971,,Lansing,Unincorporated,-76.48559636359597,42.55728082479857
2022-09-23,315000,3,2,1530,0.8199954086317722,1977,,Lansing,Unincorporated,-76.49472190655662,42.61142009449678
2022-02-03,130000,4,2.5,1707,0.5600091827364555,1951,,Dryden,Dryden village,-76.30360480545114,42.49243695027572
2022-04-15,550000,,,2714,0.10943526170798898,1980,,Ithaca,Ithaca city,-76.4992725018535,42.446160392232024
2022-01-27,440000,,,3420,0.11019283746556474,1860,,Ithaca,Ithaca city,-76.49911857832059,42.443187661358465
2022-04-15,605000,3,2.5,2911,0.13000459136822773,2016,,Ithaca,Ithaca city,-76.50002006786124,42.45413476489994
2022-04-13,595500,3,2.5,2678,0.9699954086317722,1997,,Lansing,Unincorporated,-76.4835210850613,42.51968442052404
2022-01-20,179500,5,3,2016,0.4599862258953168,1947,,Lansing,Unincorporated,-76.50397327554731,42.51882362030991
2022-01-27,860000,,,11460,3,1980,,Enfield,Unincorporated,-76.59294373349276,42.45220280587094
2022-06-24,805000,,,3487,0.23700642791551882,1875,,Ithaca,Ithaca city,-76.49907806745338,42.435490586222144
2022-06-03,487500,,,3792,0.16999540863177226,1887,,Ithaca,Ithaca city,-76.49810407461291,42.435616187405586
2022-07-15,4100000,,,25694,3.3199954086317724,1974,,Ithaca,Cayuga Heights village,-76.48695561125932,42.45930354595318
2022-03-18,690000,,,2580,,1890,,Ithaca,Ithaca city,-76.487430000139,42.43881117456073
2022-06-29,720000,,,3000,10,2002,,Dryden,Unincorporated,-76.44646677969665,42.516082802521424
2022-04-15,250000,4,2,2268,1.2600091827364555,2009,,Dryden,Unincorporated,-76.28078462294833,42.53686736987626
2022-03-04,258000,5,2.5,2400,1.25,1968,,Dryden,Unincorporated,-76.41549961308836,42.43421496369684
2022-03-31,580000,3,3.5,2500,0.16999540863177226,2021,250,Lansing,Lansing village,-76.47675864365279,42.48841853690163
2022-03-29,485000,5,3.5,2210,0.13999081726354454,1915,,Ithaca,Ithaca city,-76.48493706611583,42.43761059376794
2022-08-05,57500,3,1,992,0.6399908172635446,1956,,Dryden,Unincorporated,-76.43111908902318,42.48328892591522
2022-08-08,1575000,4,2.5,2755,4.089990817263544,1969,,Ulysses,Unincorporated,-76.53927909250996,42.49071217629564
2022-10-11,224900,3,2,2009,0.41944444444444445,1949,,Dryden,Dryden village,-76.29664187394391,42.49823602384524
2022-08-23,500000,5,3,2220,0.46999540863177225,1963,,Ithaca,Cayuga Heights village,-76.4788865146703,42.47459962896732
2022-09-22,267000,3,2,1248,1.3300045913682277,1997,,Newfield,Unincorporated,-76.58473554674941,42.36613761881415
2022-07-14,220000,3,2,1911,0.4800045913682277,1959,,Dryden,Dryden village,-76.30672266133706,42.488832173447214
2022-10-04,130000,3,2,1080,1,1989,,Groton,Unincorporated,-76.3616918643456,42.55117933872847
2022-08-25,605000,4,3,2998,0.5300045913682278,1985,,Ithaca,Cayuga Heights village,-76.48033774380612,42.46373491542701
2022-10-25,498000,5,4.5,3300,0.23000459136822773,2018,200,Ithaca,Unincorporated,-76.50357957921487,42.410621012568434
2022-07-05,370000,6,2,2480,0.35,1972,,Ithaca,Unincorporated,-76.45361265624084,42.423717067436556
2022-06-30,370000,5,2,1782,0.3399908172635445,1963,,Ithaca,Unincorporated,-76.45797908401639,42.472365520844946
2022-07-14,452250,5,4,2736,0.3899908172635445,1996,,Ithaca,Unincorporated,-76.45799424599385,42.46850400335927
2022-05-27,519000,3,2,2079,0.13999081726354454,1860,,Ithaca,Ithaca city,-76.50141406001532,42.44696810432312
2022-06-27,286000,3,2,1048,0.07493112947658402,1925,,Ithaca,Ithaca city,-76.50191767107584,42.431862805941655
2022-10-13,255000,2,1,792,,1957,,Ulysses,Trumansburg village,-76.66487903094196,42.538719096215324
2022-03-31,286500,4,2,1250,0.45,1959,,Dryden,Unincorporated,-76.45020636878897,42.47208780105776
2022-06-10,330000,2,1.5,1536,0.3199954086317723,1988,,Ithaca,Unincorporated,-76.46953920024475,42.42634814463933
2022-10-12,495000,5,3,2876,0.6179981634527089,1971,,Ithaca,Unincorporated,-76.45498680069916,42.42179401531733
2022-08-23,260000,5,2.5,2208,0.45,1980,,Lansing,Unincorporated,-76.48999312238367,42.5222231427669
2022-09-16,430000,4,2.5,2686,1.9899908172635445,2008,,Lansing,Unincorporated,-76.46286733015803,42.5149637788194
2022-03-15,581000,4,3,3012,5,1990,,Danby,Unincorporated,-76.48133716838615,42.345059719631074
2022-05-25,438000,3,2.5,1945,0.55,1972,,Ithaca,Cayuga Heights village,-76.4759193859441,42.47274909180118
2022-05-24,615000,3,2,2006,0.46000918273645547,1955,,Ithaca,Cayuga Heights village,-76.49186130819315,42.4587374976791
2022-04-21,475000,4,2.5,2158,0.33000459136822774,1995,,Ithaca,Unincorporated,-76.48261245146217,42.40524461832857
2022-05-25,510000,4,3,2880,0.41999540863177226,1993,,Ithaca,Unincorporated,-76.48439060884843,42.401939191805326
2022-06-15,720000,4,2,2560,1.3800045913682277,1965,,Lansing,Lansing village,-76.50815189629803,42.49183516628999
2022-05-10,342000,3,3,2952,2.9,1981,,Ulysses,Unincorporated,-76.64226487392837,42.54652406150422
2022-06-15,360000,3,2,1512,1.0899908172635446,1959,,Caroline,Unincorporated,-76.37372437141532,42.41308533155252
2022-05-20,248000,3,2,1876,0.8800045913682277,1966,,Enfield,Unincorporated,-76.59149055834197,42.458738518365685
2022-08-05,340000,4,3,1652,0.5100091827364555,1954,,Ithaca,Unincorporated,-76.52531659165439,42.458982458643504
2022-03-25,115000,3,1,1527,0.06363636363636363,1920,,Groton,Groton village,-76.37145515771027,42.59154738289887
2022-03-11,623750,3,3.5,3294,1.1699954086317723,1969,,Lansing,Lansing village,-76.50072576786364,42.47958277857312
2022-07-11,305000,3,2,1229,0.15,1925,,Ithaca,Ithaca city,-76.49517540357765,42.43288663237324
2022-08-24,500000,3,1.5,2742,0.13999081726354454,1900,,Ulysses,Trumansburg village,-76.65998931517828,42.54152370081433
2022-01-31,172000,,,2762,0.1285583103764922,1975,,Groton,Groton village,-76.37131083700415,42.59143490641056
2022-07-29,220000,3,1,1503,10.119995408631771,1900,,Groton,Unincorporated,-76.39700975914849,42.5908151782601
2022-03-21,165500,3,2,1040,1.6199954086317723,1969,,Dryden,Unincorporated,-76.2812927938025,42.468575752486814
2022-04-07,346000,3,2,1370,0.25,1929,,Ithaca,Ithaca city,-76.52343925369773,42.45250568305162
2022-07-20,530000,4,2.5,2826,0.4730027548209366,1972,,Ithaca,Cayuga Heights village,-76.47750215527488,42.47283091223221
2022-06-02,185000,3,1,1080,1.4199954086317723,1958,,Caroline,Unincorporated,-76.40852945652513,42.3516115470504
2022-04-22,485000,4,2.5,2861,0.4800045913682277,1967,,Ithaca,Unincorporated,-76.47393908755951,42.473981788417376
2022-03-03,245000,4,2,1488,0.35,1932,,Ithaca,Unincorporated,-76.46379625728608,42.42389274843084
2022-04-11,480000,6,5.5,3790,0.38000459136822773,2010,,Ithaca,Unincorporated,-76.45413321248468,42.469670507931156
2022-03-31,302385,3,1.5,1476,0.2,1900,,Ithaca,Ithaca city,-76.50438855061296,42.44250030221994
2022-09-02,287500,4,2,1848,2.75,1987,,Dryden,Unincorporated,-76.29091566965329,42.46876828662237
2022-03-25,320000,3,2,1400,1.5399908172635446,1860,,Dryden,Unincorporated,-76.26598507394822,42.465537499188045
2022-08-19,765000,4,2.5,3599,1.8899908172635445,2001,,Lansing,Unincorporated,-76.48002093370334,42.49944748715417
2022-12-05,310000,3,2,1812,0.9,1956,,Ithaca,Unincorporated,-76.46155979685837,42.46763106964537
2022-05-09,470000,5,2.5,2600,1.2800045913682276,1973,,Dryden,Unincorporated,-76.37836045245692,42.42622335550826
2022-08-08,469000,3,3,3015,0.7100091827364554,1932,,Ithaca,Unincorporated,-76.49558279037795,42.45912356049665
2022-07-14,418000,4,2.5,2775,0.4800045913682277,1991,,Ithaca,Unincorporated,-76.48328115780372,42.408819884189995
2022-12-08,775000,0,,3834,,1893,,Ithaca,Ithaca city,-76.48958241124711,42.44061743813598
2022-08-16,232250,3,1,1080,0.05303030303030303,1910,,Ithaca,Ithaca city,-76.5016656669136,42.43345125613686
2022-08-30,395000,4,2.5,2328,0.3600091827364555,1961,,Ithaca,Unincorporated,-76.45803234249956,42.47225669126377
2022-08-16,285000,2,1,1008,0.45,1970,,Lansing,Lansing village,-76.47676011189289,42.48272140561723
2022-04-08,195000,3,1,1064,,1973,,Caroline,Unincorporated,-76.30234680531802,42.39260151009554
2022-03-21,230000,2,2,1344,,1986,,Newfield,Unincorporated,-76.56766446377765,42.354999675105844
2022-03-17,410000,3,2,1425,0.13000459136822773,1900,,Ithaca,Ithaca city,-76.50275440214037,42.43682180505809
2022-03-10,29100,3,1.5,1536,0.03526170798898071,1975,,Ithaca,Ithaca city,-76.51296757118982,42.43588256165945
2022-08-30,340000,3,2,1232,0.6899908172635445,1962,,Dryden,Unincorporated,-76.43048013858059,42.47318291578429
2022-07-22,350000,4,1,1698,0.12396694214876033,1925,,Ithaca,Ithaca city,-76.50145753431003,42.43263693114082
2022-08-08,775000,4,2.5,3110,0.6800045913682278,1934,,Ithaca,Cayuga Heights village,-76.48883607119595,42.4686811188406
2022-07-22,380000,4,2.5,1846,0.4,1968,,Ithaca,Unincorporated,-76.45795091472345,42.42811150603942
2022-04-29,317500,3,1.5,1320,,1986,,Ithaca,Unincorporated,-76.46855185775705,42.42610234696711
2022-05-05,420000,4,3,2396,0.55,1985,,Lansing,Lansing village,-76.48609443135155,42.49365649658054
2022-07-15,360000,2,2,1190,0.11999540863177227,1880,,Ithaca,Ithaca city,-76.50163875107648,42.449404976534964
2022-08-12,454000,4,3,2812,0.10284664830119375,1889,,Ithaca,Ithaca city,-76.49320263035635,42.43944043589886
2022-07-08,210000,3,1,1327,0.3443526170798898,1915,,Ithaca,Ithaca city,-76.51059306961571,42.424989453466026
2022-07-22,454000,3,2,1620,0.2699954086317723,1890,,Ithaca,Unincorporated,-76.4711097211143,42.45053095946231
2022-08-09,275000,4,2,1850,1.3800045913682277,1990,,Dryden,Unincorporated,-76.39510139135689,42.53529229242478
2022-06-06,710000,4,3.5,3137,1.7699954086317722,2015,,Danby,Unincorporated,-76.49946037765301,42.38944332858919
2022-08-30,457000,4,2.5,2478,2.519995408631772,1880,,Dryden,Unincorporated,-76.26099379867937,42.46261367139526
2022-08-15,347000,4,2,1785,0.10101010101010101,1900,,Ithaca,Ithaca city,-76.50131821505059,42.45068146930771
2022-07-20,353000,4,2,2280,0.95,1951,,Danby,Unincorporated,-76.44359971612256,42.39259884318647
2022-08-19,465000,4,1.5,2788,6.610009182736455,1957,,Dryden,Unincorporated,-76.41978311260078,42.400693102063606
2022-07-18,600000,4,2.5,2340,0.8,1990,,Ithaca,Unincorporated,-76.48393859098607,42.40903572588045
2022-08-26,578000,4,2.5,3768,0.7399908172635445,1998,,Ithaca,Unincorporated,-76.48431335532658,42.40648830488973
2022-08-08,280000,4,1.5,1664,1.7699954086317722,1967,,Danby,Unincorporated,-76.49283782894189,42.35816181922464
