sold_date,price,beds,baths,area,lot_size,year_built,hoa_month,town,municipality,long,lat
2022-08-17,215000,5,2,2162,0.23999081726354454,1973,,Dryden,Dryden village,-76.2922928658636,42.49066836776405
2022-09-07,210000,3,1.5,1316,0.6699954086317723,1890,,Groton,Groton village,-76.36471282110251,42.581651580503134
2022-07-15,277500,4,2,2662,0.6,1968,,Groton,Groton village,-76.35594207795091,42.586977870543265
2022-07-05,290000,3,2,2640,3.5600091827364553,1860,,Groton,Unincorporated,-76.27121075792715,42.57433065974165
2022-08-18,132000,5,2,2078,0.1169880624426079,1880,,Groton,Groton village,-76.36210308327931,42.59074597685196
2022-10-21,790000,5,4.5,4270,40.28999081726354,2007,,Groton,Unincorporated,-76.38248645556243,42.562312199319976
2022-09-07,810000,3,3,2460,,1954,,Lansing,Unincorporated,-76.61279836203818,42.58103882862762
2022-08-29,565000,4,3,3227,2.2,2010,,Lansing,Unincorporated,-76.53029780601364,42.54902660748881
2022-07-27,325000,3,1,1664,0.7199954086317722,1948,,Ulysses,Trumansburg village,-76.66667449060404,42.54746607482366
2022-06-17,1025000,5,4.5,6249,1.45,1964,,Ithaca,Cayuga Heights village,-76.4970532068307,42.47317951594556
2022-07-19,880000,4,2.5,2595,,1924,,Ithaca,Cayuga Heights village,-76.48467304656867,42.46113182722734
2022-08-05,277000,3,1,1282,1.8,1965,,Ithaca,Unincorporated,-76.5706364980016,42.43847345119293
2022-07-25,390000,4,2,1623,0.16000918273645545,1900,,Ithaca,Unincorporated,-76.46831211488036,42.45185955751986
2022-08-17,680000,4,4,3014,0.7199954086317722,2009,,Lansing,Lansing village,-76.47688308364908,42.48970962716508
2022-06-22,190000,2,1,1212,1.1300045913682277,1976,,Ulysses,Unincorporated,-76.64502909171837,42.50917425323576
2022-07-06,450000,3,1,1467,0.1046831955922865,1880,,Ithaca,Ithaca city,-76.49739642905047,42.44860997630589
2022-07-27,240000,2,2,1304,0.1,1890,,Ithaca,Ithaca city,-76.49592157882951,42.44852724690344
2022-07-15,333500,2,2,1800,0.15656565656565657,1959,,Ithaca,Ithaca city,-76.52420557463533,42.442416455261096
2022-09-12,525000,6,4,2736,0.31000918273645545,1973,,Ithaca,Ithaca city,-76.52207497499421,42.440771024846654
2022-06-30,375000,4,2.5,2340,0.1844123048668503,1910,,Ithaca,Ithaca city,-76.50897831128661,42.441061195844455
2022-09-01,320000,3,2,1352,0.46000918273645547,1984,,Lansing,Lansing village,-76.4842732469791,42.48756800725221
2022-08-04,295000,2,2,1596,0.5699954086317722,1949,,Ithaca,Unincorporated,-76.46177658629756,42.425826232909856
2022-09-14,450000,3,2.5,2010,0.23000459136822773,1929,,Ithaca,Ithaca city,-76.47864338562367,42.43949836795101
2022-08-03,345000,3,1.5,1432,0.06000918273645546,1900,,Ithaca,Ithaca city,-76.50063819799469,42.434940784513685
2022-06-24,172000,2,1,1172,0.31000918273645545,1920,,Ithaca,Ithaca city,-76.51034545029134,42.425112834723265
2022-10-21,72800,2,1,1292,0.3099862258953168,1930,,Groton,Unincorporated,-76.28953504411982,42.550278440504044
2022-08-30,1250000,4,3.5,3687,6,1994,,Lansing,Unincorporated,-76.55534839641939,42.54914453731811
2022-09-15,835000,4,2.5,3696,0.5899908172635445,2009,,Lansing,Unincorporated,-76.5482487856698,42.55655126114033
2022-08-11,345000,3,2,1638,1.4699954086317724,1986,,Lansing,Unincorporated,-76.48392272501528,42.52348236390746
2022-07-11,650000,4,2.5,3129,0.8800045913682277,2001,,Lansing,Unincorporated,-76.48447207180968,42.51878364124014
2022-09-02,125000,3,1,1263,0.2,1860,,Dryden,Freeville village,-76.34597324773827,42.51366395690525
2022-08-29,213000,3,2.5,1454,0.5100091827364555,1962,,Dryden,Unincorporated,-76.31443497251281,42.48259905547311
2022-09-01,599000,4,4.5,4238,1.5,2005,,Lansing,Unincorporated,-76.47855177039781,42.50086191834049
2022-09-01,300000,4,3,2119,0.8399908172635445,1850,,Ulysses,Trumansburg village,-76.65410481361542,42.53965949921662
2022-08-26,485000,4,2.5,3348,1.15,1870,,Ulysses,Trumansburg village,-76.66323444832385,42.53851899162912
2022-06-30,950000,5,5,4892,1.4600091827364554,2010,,Lansing,Unincorporated,-76.47585261500922,42.51823456125178
2022-07-05,240000,4,2.5,2216,0.4,1925,,Ithaca,Unincorporated,-76.45729400654626,42.41966424691922
2022-07-11,318000,3,2,1092,0.3199954086317723,1971,,Ithaca,Unincorporated,-76.45674842969368,42.42389717608986
2022-07-27,775000,4,3.5,2413,0.5,1990,,Ithaca,Unincorporated,-76.46618959117548,42.455182392798974
2022-06-10,435000,6,3,3500,0.43999081726354455,1990,,Ithaca,Unincorporated,-76.45749664237655,42.46837104579127
2022-06-06,336000,5,2.5,2048,0.9199954086317723,1987,,Ithaca,Unincorporated,-76.46294059989332,42.42329113117272
2022-07-26,760000,5,3.5,3729,0.8600091827364554,2012,,Ithaca,Unincorporated,-76.49859515636871,42.39970854815505
2022-07-14,530000,4,3,2806,0.48999081726354454,2004,,Ithaca,Unincorporated,-76.48578421473742,42.404751248514685
2022-09-02,475000,4,3,1878,3.6800045913682276,1972,,Ithaca,Unincorporated,-76.5162022312666,42.410083253720266
2022-05-09,275000,2,1,1668,1.2399908172635445,1984,,Dryden,Unincorporated,-76.44552957562594,42.520793301794264
2022-06-06,358000,3,2,1403,0.6699954086317723,1961,,Lansing,Unincorporated,-76.48541008087363,42.51591237593154
2022-06-08,450000,5,3,3000,5.689990817263545,1835,,Ulysses,Unincorporated,-76.64658126784138,42.494177018543056
2022-06-30,360000,3,2,1512,1.4399908172635445,1986,,Caroline,Unincorporated,-76.40879356303326,42.39008361189574
2022-04-22,320000,3,2,2249,0.27548209366391185,1960,,Ithaca,Ithaca city,-76.52525084045233,42.442689714521
2022-08-02,865000,4,3.5,3981,0.5899908172635445,2007,,Lansing,Unincorporated,-76.48492624106817,42.51651418774581
2022-05-16,330000,3,1.5,1594,1.2,2015,,Dryden,Unincorporated,-76.37689165863428,42.4823260476306
2022-07-17,530000,4,3,2288,1.0399908172635446,2005,,Lansing,Unincorporated,-76.49718322516883,42.5131392385793
2022-07-29,298300,5,3.5,2832,0.7699954086317723,1966,,Lansing,Unincorporated,-76.52136347284159,42.54212507188351
2022-08-01,532500,3,3.5,2500,0.11000918273645546,2021,250,Lansing,Lansing village,-76.47623297847574,42.48885521102963
2022-08-04,555555,3,2.5,2220,0.9699954086317722,1995,,Lansing,Unincorporated,-76.50483797543946,42.50283733380926
2022-07-01,580000,5,3,3094,0.7300045913682277,1954,,Ithaca,Cayuga Heights village,-76.49898493172452,42.473148961191384
2022-05-23,447200,4,2.5,2064,,1962,,Ithaca,Cayuga Heights village,-76.48028251010601,42.474969501823054
2022-06-15,360000,3,1.5,1344,0.45,1959,,Lansing,Lansing village,-76.4759528267035,42.482816380324834
2022-05-27,665000,4,2,2609,,1971,,Lansing,Lansing village,-76.50394608050811,42.47986005344308
2022-05-04,650000,5,3.5,5068,1.8300045913682277,2000,,Lansing,Unincorporated,-76.48557911574703,42.50063064817835
2022-07-13,415000,3,2.5,2138,0.11999540863177227,1988,250,Lansing,Lansing village,-76.49385687443389,42.48242575836349
2022-05-12,826000,6,4.5,4868,1.9699954086317724,1910,,Ithaca,Ithaca city,-76.49203578978553,42.45594577614755
2022-06-27,263000,3,1,1320,1.1100091827364555,1964,,Lansing,Unincorporated,-76.49433979238015,42.5261982525437
2022-04-27,325000,2,1.5,1700,11.860009182736455,1900,,Ulysses,Unincorporated,-76.57213185386817,42.52661613319475
2022-06-22,165000,2,1,984,0.26000918273645546,1920,,Danby,Unincorporated,-76.48132141427367,42.35240086815718
2022-08-15,615000,3,2.5,1955,15.069995408631772,2005,,Ulysses,Unincorporated,-76.56414173712905,42.50571155534035
2022-07-25,332500,5,3,2768,3.75,1890,,Enfield,Unincorporated,-76.59101469643713,42.45034472725015
2022-09-30,365000,4,2.5,2088,0.44646464646464645,1885,,Ithaca,Unincorporated,-76.46600705770545,42.46731309162771
2022-08-12,237500,4,2,2092,0.6300045913682277,1949,,Lansing,Unincorporated,-76.49535021088278,42.56743791598905
2022-05-06,506500,3,2.5,2044,7.9300045913682276,2013,,Caroline,Unincorporated,-76.39357979068738,42.39527724311002
2022-07-29,255000,3,2,1620,1.1,2006,,Dryden,Dryden village,-76.28762378264503,42.482205780092464
2022-07-27,459000,3,2,1527,1.8699954086317723,1941,,Dryden,Unincorporated,-76.43629388554591,42.43118633090064
2022-09-06,100000,3,1,1234,,1946,,Groton,Groton village,-76.36403671355028,42.58114514946389
2022-09-07,430000,4,3,2016,0.28000459136822775,1970,,Ithaca,Cayuga Heights village,-76.48698599256821,42.467623810774704
2022-10-06,308000,4,2,2000,1.5199954086317722,1880,,Ithaca,Unincorporated,-76.45281807112747,42.417044387776045
2022-08-04,424000,5,2,2068,0.3856749311294766,1967,,Ithaca,Unincorporated,-76.46829970544682,42.474064834302474
2022-07-18,590000,3,2.5,2007,0.55,2003,,Lansing,Lansing village,-76.48721566219022,42.49564693879011
2022-08-02,555000,3,2,1771,1.8,1948,,Lansing,Lansing village,-76.503670908896,42.48669503100215
2022-09-28,490000,5,4,4662,0.5699954086317722,1993,,Lansing,Unincorporated,-76.48539630362497,42.516093466850386
2022-09-13,537500,,,3678,0.11000918273645546,1880,,Ithaca,Ithaca city,-76.50092459302918,42.44160461819858
2022-07-12,513000,4,2,2156,,1900,,Ithaca,Ithaca city,-76.49662276849809,42.43469838564181
2022-06-23,411000,4,2.5,3024,1.2399908172635445,1978,,Lansing,Unincorporated,-76.48815514522364,42.52345778338419
2022-08-03,400000,4,2,2013,0.35,1968,,Ithaca,Unincorporated,-76.45638398957117,42.47127420755803
2022-06-17,485000,5,1.5,3177,0.11000918273645546,1825,,Ithaca,Ithaca city,-76.49924769562296,42.442681191581244
2022-07-07,290000,4,3,1776,0.7100091827364554,1958,,Danby,Unincorporated,-76.48062238264001,42.34743878056159
2022-08-18,77777,1,1,384,4.8,2018,,Newfield,Unincorporated,-76.60994946830381,42.30764448692439
2022-08-18,350000,3,2,1498,3.0100091827364555,2017,,Enfield,Unincorporated,-76.67305089698931,42.47869570997266
2022-07-12,420000,5,2,2305,6.4,1845,,Enfield,Unincorporated,-76.66228931735351,42.47916336495692
2022-09-22,188000,3,1.5,1639,2.1300045913682277,1950,,Newfield,Unincorporated,-76.57834680762238,42.36982886269842
2022-06-14,375000,4,3,2125,1.1899908172635445,1990,,Ulysses,Unincorporated,-76.61405613924516,42.49902492114896
2022-02-11,250000,3,2,1500,2,2017,,Dryden,Unincorporated,-76.39353042524348,42.504222810058536
2022-04-18,236000,3,1.5,1739,0.3899908172635445,1988,,Dryden,Dryden village,-76.2933637867078,42.484206320779094
2022-08-02,285000,3,2,2138,1.6199954086317723,1968,,Ithaca,Unincorporated,-76.56221097090791,42.435310808565944
2022-05-26,319000,3,2,2579,0.2699954086317723,1964,,Ithaca,Ithaca city,-76.52605751989451,42.43977064765798
2022-09-01,199500,3,1.5,960,1,1988,,Danby,Unincorporated,-76.44204737310682,42.31802980906255
2022-06-09,248000,4,1.5,1648,0.7,1974,,Dryden,Unincorporated,-76.32310617668507,42.52341170929937
2022-09-27,279900,3,2,1946,1.0699954086317722,1930,,Dryden,Unincorporated,-76.43566491637668,42.471963061548834
2022-09-01,149000,3,1,1368,2.2600091827364555,1970,,Dryden,Unincorporated,-76.37345830815516,42.47830466672804
2022-08-08,142000,3,1.5,1032,0.95,1967,,Dryden,Unincorporated,-76.3822205182554,42.47795135792009
2022-10-06,477500,3,3.5,2373,2.2399908172635445,2006,,Lansing,Unincorporated,-76.5305469636111,42.547410799667304
2022-07-01,340000,3,2,1468,0.3,1910,,Ithaca,Ithaca city,-76.5243899071116,42.43942212997132
2022-10-07,245000,3,1,1368,0.6300045913682277,1950,,Ulysses,Trumansburg village,-76.66815501534363,42.5418372214622
2022-08-17,232000,3,2,1518,0.43999081726354455,1962,,Lansing,Unincorporated,-76.55163989143382,42.55591091316496
2022-09-12,135000,2,1,1080,0.06887052341597796,1952,,Ithaca,Unincorporated,-76.48173371185209,42.400338825653996
2022-08-15,395000,3,2,1454,0.31000918273645545,1988,,Ithaca,Unincorporated,-76.46616752638278,42.42720076098189
2022-10-17,310500,4,2,1700,0.573921028466483,1954,,Ithaca,Unincorporated,-76.46169091934007,42.47067289272226
2022-06-07,311000,3,2,1436,0.21000918273645547,1950,,Ithaca,Ithaca city,-76.48864147537499,42.43107889801205
2022-07-27,250000,3,2,1098,0.1,1860,,Ithaca,Ithaca city,-76.5066259099612,42.4375432077302
2022-06-06,325000,3,2,1246,0.08999081726354453,1900,,Ithaca,Ithaca city,-76.49614955255024,42.434757549192504
2022-06-27,322000,3,2,1902,2.0100091827364555,1961,,Lansing,Unincorporated,-76.52175311666389,42.5422716985823
2022-05-04,170000,3,2,2268,0.23999081726354454,1992,,Newfield,Unincorporated,-76.63277325831413,42.38387323225822
2022-06-21,875000,4,4,3256,1.7,2007,,Lansing,Unincorporated,-76.51814560842904,42.51859006101641
2022-05-27,420000,5,2,2238,0.13333333333333333,1870,,Ithaca,Ithaca city,-76.49712033795687,42.44416966003722
2022-04-29,272000,3,2,2044,0.9300045913682278,1900,,Lansing,Unincorporated,-76.5361932865261,42.54746224934511
2022-05-31,435000,4,2,2390,1.65,1997,,Danby,Unincorporated,-76.49443676022885,42.35804722791329
2022-03-25,195000,4,2,1968,0.85,1976,,Dryden,Unincorporated,-76.43577018044303,42.486878822867375
2022-04-29,338000,2,1,912,8.269995408631772,2013,,Caroline,Unincorporated,-76.38267699856277,42.36309527126587
2022-06-10,178000,3,1,1336,0.38000459136822773,1880,,Groton,Unincorporated,-76.29252213192991,42.554543138570075
2022-04-21,242000,5,2,2158,,1976,,Dryden,Dryden village,-76.30519040975338,42.494687224323094
2022-05-09,450000,4,3,1752,0.3280073461891644,1993,,Lansing,Lansing village,-76.48244237735726,42.48826392462901
2022-06-07,314000,3,2,1576,0.3928833792470156,2003,,Dryden,Dryden village,-76.29378787032249,42.48419018717822
2022-06-28,250000,3,2,1792,9.319995408631772,2013,,Dryden,Unincorporated,-76.39456347804199,42.527269455393714
2022-06-17,362000,3,2,1624,2,2018,,Dryden,Unincorporated,-76.43254048386792,42.505474427167506
2022-05-31,435000,4,3,1990,0.23999081726354454,1952,,Ithaca,Cayuga Heights village,-76.48398838197076,42.46404386655395
2022-06-16,220000,2,1,1152,0.03000459136822773,1983,,Ithaca,Unincorporated,-76.46414178555887,42.42324439929962
2022-06-24,820000,4,3.5,2406,,1910,,Ithaca,Unincorporated,-76.47282116799215,42.45067811853925
2022-06-22,212000,3,1,768,0.5199954086317723,1950,,Ithaca,Unincorporated,-76.46552105030796,42.467178541446366
2022-06-21,370000,4,2.5,1955,0.35,1967,,Ithaca,Unincorporated,-76.45852975698726,42.470756475116175
2022-06-06,607000,4,2.5,2392,0.5699954086317722,1981,,Ithaca,Unincorporated,-76.47461007417284,42.475724915558246
2022-06-03,210000,3,1.5,1728,,1910,,Ithaca,Ithaca city,-76.49517446659726,42.45150955425544
2022-06-03,490000,3,2,2089,0.13298898071625345,1889,,Ithaca,Ithaca city,-76.49631399874197,42.45050505173872
2022-05-02,331384,3,2,1404,2,2014,,Enfield,Unincorporated,-76.63271103676065,42.47579703085751
2022-06-07,295000,4,2,1955,0.6300045913682277,1930,,Ulysses,Unincorporated,-76.58055700236947,42.48820805502196
2022-11-02,1185000,3,3,2400,0.13999081726354454,2007,,Ithaca,Unincorporated,-76.50381883168393,42.47244347822802
2022-10-12,505000,5,4.5,3699,0.9,2009,,Ithaca,Unincorporated,-76.50458484331486,42.408380335384955
2022-11-08,385000,4,2.5,1872,0.6399908172635446,2013,,Lansing,Unincorporated,-76.49439801610514,42.53412461515075
2022-09-19,75000,2,2,990,0.23000459136822773,1864,,Ithaca,Ithaca city,-76.50203964389962,42.45158366453024
2022-03-22,316600,5,3,3620,1.1600091827364554,1870,,Lansing,Unincorporated,-76.57907827573158,42.59405557385571
2022-03-09,131000,2,2,1222,0.46999540863177225,1880,,Lansing,Unincorporated,-76.53981908792669,42.53901562433266
2022-03-11,155000,5,2,2186,1.4600091827364554,1880,,Dryden,Dryden village,-76.29421131704805,42.49072706710029
2022-06-10,470000,3,2.5,2300,0.33000459136822774,1987,,Ithaca,Unincorporated,-76.46874897603644,42.426195718807556
2022-04-28,330000,4,1.5,1608,0.0707070707070707,1836,,Ithaca,Ithaca city,-76.49452281052741,42.443450792596266
2022-05-12,455000,5,2.5,2531,0.0044995408631772265,1890,,Ithaca,Ithaca city,-76.49871790733806,42.43448346884802
2022-06-24,405000,3,2.5,1728,0.9100091827364555,1990,,Lansing,Unincorporated,-76.49918829846766,42.5371624609548
2022-07-25,335000,6,3,2560,1.0300045913682276,1999,,Danby,Unincorporated,-76.47095288145233,42.383640881243366
2022-07-05,234000,3,1,1375,0.26000918273645546,1958,,Dryden,Dryden village,-76.29970102508341,42.48966115361163
2022-08-15,236500,3,1.5,1278,0.55,1870,,Dryden,Freeville village,-76.35261010021298,42.508483132501674
2022-10-07,251500,4,1.5,1924,0.4,1976,,Dryden,Unincorporated,-76.32299590460903,42.52331120283309
2022-04-07,135000,3,1,1998,0.5,1850,,Dryden,Unincorporated,-76.3884517732091,42.48304540516751
2022-09-12,410000,3,2,2496,1.7100091827364554,1988,,Dryden,Unincorporated,-76.41748705771263,42.42015642885134
2022-08-15,556000,4,4.5,3288,2,1970,,Dryden,Unincorporated,-76.37593665860516,42.424560812829974
2022-08-24,250000,3,1,1334,6.3,1985,,Groton,Unincorporated,-76.28914767974653,42.57837430590575
2022-06-15,435000,4,2.5,1672,1.0699954086317722,1942,,Ithaca,Cayuga Heights village,-76.49573981262695,42.46564456783369
2022-07-01,355000,3,2,1638,0.7199954086317722,1963,,Lansing,Unincorporated,-76.49244537569658,42.534024740324455
2022-05-31,975000,4,3,4734,4.089990817263544,1998,,Lansing,Unincorporated,-76.48170569403207,42.50088981174642
2022-03-21,411720,,,1828,0.11999540863177227,1920,,Ithaca,Ithaca city,-76.49265390090407,42.448974721736704
2022-08-30,473102,3,1.5,1640,,1929,,Ithaca,Ithaca city,-76.47869263572305,42.43909115159374
2022-10-11,403000,4,2,1816,0.13774104683195593,1900,,Ithaca,Ithaca city,-76.50173793533793,42.4345909852425
2022-07-25,479500,4,1.5,2007,,1910,,Ithaca,Ithaca city,-76.50380339810694,42.434345642770715
2022-08-15,324900,2,1,1700,2.4899908172635445,1890,,Ithaca,Ithaca city,-76.50422857835166,42.42874506259868
2022-09-28,325000,4,3,2893,0.7199954086317722,1950,,Danby,Unincorporated,-76.4840434898465,42.36001260254983
2022-07-05,203200,2,1.5,1440,1,1955,,Danby,Unincorporated,-76.4406675040603,42.3292994751014
2022-05-09,266500,3,1.5,1916,0.33000459136822774,1969,,Dryden,Dryden village,-76.30650955870205,42.488698448906966
2022-08-12,810000,4,2.5,2242,10.980004591368228,1965,,Dryden,Unincorporated,-76.4141857968114,42.43923031033539
2022-08-22,750000,3,2.5,2549,1.0449954086317723,1922,,Ithaca,Cayuga Heights village,-76.49134903865395,42.46664772187108
2022-05-13,568700,3,2.5,2900,0.6199954086317723,1995,,Ithaca,Unincorporated,-76.48638875135794,42.401656116827404
2022-08-01,239500,2,1,1050,0.03000459136822773,1986,270,Ithaca,Unincorporated,-76.46594201242394,42.4244068895336
2022-06-14,450000,4,2.5,2013,0.3399908172635445,1967,,Ithaca,Unincorporated,-76.4535812824099,42.46747939788887
2022-08-11,553500,3,3.5,2600,0.18000459136822775,2021,250,Lansing,Lansing village,-76.47621980354596,42.4889892515364
2022-08-02,188000,2,1.5,900,,1960,361,Lansing,Lansing village,-76.48254677457568,42.47896539833171
2022-09-29,690000,5,4,2709,1.15,1984,,Lansing,Lansing village,-76.50248681825992,42.48093514056844
2022-06-08,467000,4,3,1796,0.06999540863177227,1920,,Ithaca,Ithaca city,-76.4973425384941,42.45018287356401
2022-07-28,253000,2,1,1025,0.3199954086317723,1954,,Ithaca,Ithaca city,-76.52413620322984,42.439542821577795
2022-07-20,507500,3,1.5,1744,0.11000918273645546,1910,,Ithaca,Ithaca city,-76.47742817019243,42.43788639582496
2022-09-02,350000,3,2,1196,0.7699954086317723,1896,,Ithaca,Ithaca city,-76.48365342831924,42.43561160696957
2022-07-14,491000,2,1,1519,0.8,1920,,Lansing,Unincorporated,-76.50785725193217,42.478892024381054
2022-07-11,470000,4,3,1960,0.48999081726354454,1988,,Ithaca,Unincorporated,-76.48090881089298,42.40324797803102
2022-06-03,33000,2,1,980,,1979,,Ithaca,Ithaca city,-76.51333912865415,42.43244600538787
2022-08-26,215000,4,6,2128,11.860009182736455,1993,,Dryden,Unincorporated,-76.27366084187223,42.52903011164463
2022-07-25,256000,3,3,1350,0.28000459136822775,1920,,Newfield,Unincorporated,-76.59215435379971,42.36094228951208
2022-09-29,110000,2,1,1566,14.789990817263545,1850,,Enfield,Unincorporated,-76.59335301040792,42.43692489749819
2022-08-02,494000,4,2.5,2481,13.769995408631772,2022,,Ulysses,Unincorporated,-76.6076816092361,42.49575446265198
2022-10-18,100000,5,1,2816,3.5,1822,,Enfield,Unincorporated,-76.60384237202231,42.40021157345326
2022-10-28,57555,,,672,0.05,1945,,Ithaca,Ithaca city,-76.49975714176433,42.453566076853456
2022-11-04,325000,3,2,1680,0.55,1952,,Ithaca,Unincorporated,-76.53012126508203,42.4609099975409
2022-07-25,310000,3,2,1669,2.8800045913682277,2015,,Dryden,Unincorporated,-76.41407262283718,42.487018099649276
2022-08-12,475108,3,2,2476,0.4300045913682277,1950,,Ithaca,Cayuga Heights village,-76.48196831840033,42.46388063360966
2022-09-29,330000,4,2.5,3125,3.1399908172635445,1800,,Lansing,Unincorporated,-76.60779032290556,42.60226736963344
2022-06-17,300000,4,2,1456,5,1970,,Lansing,Unincorporated,-76.55318753400083,42.59490887604018
2022-09-14,240000,6,2,1920,0.9399908172635445,1970,,Newfield,Unincorporated,-76.55138955850765,42.33761175073244
2022-07-29,308000,4,1,2215,1.1,1880,,Ulysses,Trumansburg village,-76.66158665904962,42.540522434865075
2022-08-23,162000,3,1.5,2093,0.5800045913682277,1886,,Enfield,Unincorporated,-76.62625765309672,42.42149806924483
2022-07-20,119700,3,1.5,1155,0.5,1900,,Ithaca,Unincorporated,-76.5366614614824,42.411852461848284
2022-08-16,335500,3,2,1957,4.5,1880,,Ulysses,Unincorporated,-76.67679896769748,42.53255456359283
2022-05-06,102500,4,2,1608,,2014,,Enfield,Unincorporated,-76.5764744738138,42.424023129417456
2022-08-08,354000,4,2,1810,0.9199954086317723,1976,,Dryden,Unincorporated,-76.28873363559937,42.47412448916445
2022-08-01,330000,3,1.5,1352,5.0699954086317724,1979,,Dryden,Unincorporated,-76.2844783074303,42.462278554929725
2022-09-07,230000,3,1.5,1374,0.36999540863177227,1990,,Dryden,Dryden village,-76.2994372107365,42.49217466798419
2022-08-26,285000,5,3,2988,0.8799816345270891,1850,,Groton,Unincorporated,-76.28878536701525,42.57230144697037
2022-05-16,575000,4,2,2016,5.230004591368227,1983,,Lansing,Unincorporated,-76.55822803592879,42.551214159078064
2022-04-20,475000,3,2.5,1879,10.780004591368227,1995,,Lansing,Unincorporated,-76.51441287249104,42.55565941246191
2022-06-14,565000,6,3,3950,2.1100091827364555,2004,,Danby,Unincorporated,-76.44865592168975,42.39503000684193
2022-06-07,300000,3,2,1428,0.46000918273645547,2007,,Ithaca,Unincorporated,-76.52230664107714,42.45560959913366
2022-06-03,360000,4,2,1982,0.3199954086317723,1952,,Ulysses,Trumansburg village,-76.6559119862962,42.53894244120771
2022-03-21,320000,3,2,2040,0.2,1870,,Ithaca,Ithaca city,-76.50642482599609,42.440233756433734
2022-06-14,355000,3,2,1813,0.6600091827364555,1958,,Lansing,Unincorporated,-76.47216517943136,42.51664999667713
2022-10-25,265000,3,2,1164,,1946,,Ithaca,Ithaca city,-76.48962373629611,42.43120320334985
2022-10-14,360000,3,2,1866,1.0300045913682276,1985,,Caroline,Unincorporated,-76.40976809893519,42.39123352070224
2022-07-14,377000,3,2,3300,6.9300045913682276,2001,,Lansing,Unincorporated,-76.50863858964279,42.60225924046234
2022-11-09,179000,3,1,1140,0.045546372819100095,1920,,Ithaca,Ithaca city,-76.5007483486774,42.44732098903744
2022-08-17,257500,3,2,1092,0.9199954086317723,1959,,Caroline,Unincorporated,-76.38509672749893,42.39554994217056
2022-07-28,395000,3,2.5,2403,3.019995408631772,1900,,Danby,Unincorporated,-76.47826277714155,42.383936691442955
2022-07-29,375000,4,2.5,2080,1.85,2002,,Dryden,Unincorporated,-76.44703890820324,42.516064237900274
2022-10-07,430000,4,3,2642,2.9699954086317724,2006,,Dryden,Unincorporated,-76.41198971693721,42.487086672608086
2022-09-01,707500,5,3,3089,14.569995408631772,1997,,Dryden,Unincorporated,-76.42378472509058,42.45314233543783
2022-07-19,434500,3,2,2571,2.830004591368228,1974,,Dryden,Unincorporated,-76.37714428017654,42.428858659104414
2022-08-01,155000,3,1.5,1120,0.13000459136822773,1911,,Groton,Groton village,-76.3707034089654,42.58574174997689
2022-08-19,540000,4,3.5,2208,0.9899908172635445,1955,,Ithaca,Cayuga Heights village,-76.49464926365762,42.47493886631161
2022-04-14,564000,4,1.5,1984,0.43999081726354455,1926,,Ithaca,Unincorporated,-76.496354074729,42.46045738058021
2022-07-27,385000,2,2,1526,0.41999540863177226,1930,,Ithaca,Unincorporated,-76.52375936225818,42.45645320652671
2022-04-18,300000,3,2,1548,0.7,1960,,Ithaca,Unincorporated,-76.5340561429655,42.43988228726566
2022-09-06,250000,3,2,1648,,1965,,Ithaca,Unincorporated,-76.48611128162742,42.42393310291229
2022-09-15,239000,2,2,1248,0.11000918273645546,1989,330,Ithaca,Unincorporated,-76.48196547298635,42.40622659131355
2022-09-07,573000,5,3.5,3292,0.7600091827364555,2015,,Ithaca,Unincorporated,-76.47121133819121,42.402901960096436
2022-07-07,261000,3,3,2044,0.13000459136822773,2007,,Ithaca,Unincorporated,-76.48518988935834,42.427508751813996
2022-08-28,270000,3,2,1420,0.6030073461891644,1955,,Ithaca,Unincorporated,-76.45334367194785,42.41719437339599
2022-08-26,370000,6,3,1804,0.3370064279155188,1986,,Ithaca,Unincorporated,-76.44867079052524,42.42552911891394
2022-08-22,505000,4,2,2340,0.6,1958,,Ithaca,Unincorporated,-76.46663026162526,42.47071878076251
2022-08-04,405000,4,3,2984,11.230004591368228,1820,,Lansing,Lansing village,-76.49948735024961,42.478920002264715
2022-07-06,256000,,,1600,1.2,1988,,Lansing,Unincorporated,-76.48407105176192,42.52958401674116
2022-05-16,685000,4,3,3545,2.0300045913682276,2002,,Lansing,Unincorporated,-76.47236718578753,42.51755964747377
2022-04-11,230000,3,2,1817,0.2,1956,,Ithaca,Ithaca city,-76.52528876208956,42.43618672688655
2022-05-24,100000,2,1,1174,0.06994949494949496,1900,,Ithaca,Ithaca city,-76.50371095312236,42.43658419974619
2022-08-25,360000,4,1.5,2676,0.23000459136822773,1929,,Ithaca,Ithaca city,-76.49213938813953,42.436599978318405
2022-08-04,299000,4,2,2000,0.35,1910,,Ithaca,Ithaca city,-76.48385976898916,42.435744609723244
2022-06-30,523000,3,2.5,1988,0.23140495867768596,1959,,Ithaca,Ithaca city,-76.4743993376189,42.43324998721424
2022-07-21,305550,3,2,1318,0.21808999081726355,1942,,Ithaca,Unincorporated,-76.49711974989646,42.46058720812932
2022-07-22,750000,5,5,5464,1.1399908172635445,2018,,Lansing,Lansing village,-76.5096772978603,42.512957977341856
2022-08-04,187500,3,1,1208,0.11000918273645546,1900,,Ithaca,Ithaca city,-76.4982186340452,42.43350715549578
