outcome,sex,year,name,Trump,Harris,part_diff
Trump,F,1993,Stormy,0.8986486486486487,0.10135135135135136,0.7972972972972974
Trump,M,1993,Kolton,0.8907563025210085,0.1092436974789916,0.7815126050420169
Trump,F,1993,Kalee,0.8793103448275862,0.1206896551724138,0.7586206896551724
Trump,M,1993,Dallin,0.8666666666666667,0.13333333333333333,0.7333333333333334
Trump,M,1993,Cade,0.8662420382165605,0.1337579617834395,0.7324840764331211
Trump,M,1993,Braxton,0.8661971830985915,0.13380281690140844,0.732394366197183
Trump,F,1993,Kaylan,0.8611111111111112,0.1388888888888889,0.7222222222222223
Trump,M,1993,Dewayne,0.8571428571428571,0.14285714285714285,0.7142857142857142
Trump,F,1993,Ashton,0.8563829787234043,0.14361702127659576,0.7127659574468086
Trump,M,1993,Jacoby,0.855072463768116,0.14492753623188406,0.7101449275362319
Trump,F,1993,Brooklyn,0.8508946322067594,0.14910536779324055,0.7017892644135189
Trump,M,1993,Houston,0.8496732026143791,0.1503267973856209,0.6993464052287581
Trump,F,1993,Chasity,0.847953216374269,0.15204678362573099,0.695906432748538
Trump,F,2003,Ansley,0.96541786743515845,0.0345821325648415,0.9308357348703169
Trump,F,2003,Kinley,0.9617834394904459,0.03821656050955414,0.9235668789808917
Trump,F,2003,Brylee,0.954954954954955,0.04504504504504504,0.9099099099099099
Trump,M,2003,Cason,0.9548872180451128,0.045112781954887216,0.9097744360902256
Trump,M,2003,Kylan,0.952054794520548,0.04794520547945205,0.904109589041096
Trump,M,2003,Jaquez,0.9411764705882353,0.058823529411764705,0.8823529411764706
Trump,M,2003,Ladarius,0.9351851851851852,0.06481481481481481,0.8703703703703705
Trump,F,2003,Harlie,0.9316239316239316,0.06837606837606838,0.8632478632478633
Trump,F,2003,Mckinley,0.9259259259259259,0.07407407407407407,0.8518518518518519
Trump,F,2003,Jakayla,0.9215017064846417,0.07849829351535836,0.8430034129692834
Trump,F,2003,Kinsey,0.9206349206349206,0.07936507936507936,0.8412698412698412
Trump,M,2003,Jakobe,0.9144385026737968,0.0855614973262032,0.8288770053475936
Trump,M,2003,Houston,0.9096774193548387,0.09032258064516129,0.8193548387096774
Trump,M,2003,Jase,0.9090909090909091,0.09090909090909091,0.8181818181818181
Trump,M,2003,Branson,0.900990099009901,0.09900990099009901,0.801980198019802
Trump,M,2003,Braxton,0.899492385786802,0.10050761421319797,0.798984771573604
Trump,F,2003,Halee,0.8990825688073395,0.10091743119266056,0.798165137614679
Trump,M,2003,Dewayne,0.8938053097345132,0.10619469026548672,0.7876106194690264
Trump,F,2003,Jacie,0.8909090909090909,0.10909090909090909,0.7818181818181817
Trump,M,2003,Paxton,0.8859649122807017,0.11403508771929824,0.7719298245614035
Trump,F,2013,Kyndal,0.9696969696969697,0.030303030303030304,0.9393939393939394
Trump,F,2013,Landry,0.9619565217391305,0.03804347826086957,0.923913043478261
Trump,F,2013,Aniston,0.9553571428571429,0.044642857142857144,0.9107142857142858
Trump,M,2013,Coy,0.9532710280373832,0.04672897196261682,0.9065420560747663
Trump,M,2013,Houston,0.949685534591195,0.050314465408805034,0.89937106918239
Trump,F,2013,Ansley,0.9442970822281167,0.05570291777188329,0.8885941644562334
Trump,M,2013,Demarcus,0.9425287356321839,0.05747126436781609,0.8850574712643677
Trump,M,2013,Chevy,0.9402985074626866,0.05970149253731343,0.8805970149253732
Trump,M,2013,Brantlee,0.9326424870466321,0.06735751295336788,0.8652849740932642
Trump,F,2013,Raylee,0.9322916666666666,0.06770833333333333,0.8645833333333333
Trump,F,2013,Anniston,0.9245283018867925,0.07547169811320754,0.8490566037735849
Trump,M,2013,Brentley,0.9233128834355828,0.07668711656441718,0.8466257668711656
Trump,F,2013,Kinlee,0.922077922077922,0.07792207792207792,0.8441558441558441
Trump,M,2013,Ridge,0.9159663865546218,0.08403361344537816,0.8319327731092436
Trump,M,2013,Stetson,0.9084967320261438,0.0915032679738562,0.8169934640522876
Trump,F,2013,Jamiyah,0.9041095890410958,0.0958904109589041,0.8082191780821917
Trump,F,2013,Braylee,0.9031578947368422,0.0968421052631579,0.8063157894736843
Trump,F,2013,Oakley,0.9013452914798207,0.09865470852017937,0.8026905829596414
Trump,F,2013,Kynlee,0.9008746355685131,0.09912536443148688,0.8017492711370262
Trump,M,2013,Carsen,0.9008264462809917,0.09917355371900827,0.8016528925619835
Trump,F,2023,Landry,0.9710982658959537,0.028901734104046242,0.9421965317919074
Trump,F,2023,Braylee,0.9620253164556962,0.0379746835443038,0.9240506329113924
Trump,F,2023,Kaisley,0.95783132530120485,0.04216867469879518,0.9156626506024097
Trump,M,2023,Kamarion,0.9565217391304348,0.043478260869565216,0.9130434782608696
Trump,F,2023,Raylee,0.9552238805970149,0.04477611940298507,0.9104477611940298
Trump,F,2023,Rayleigh,0.9545454545454546,0.045454545454545456,0.9090909090909092
Trump,M,2023,Caysen,0.9537037037037037,0.046296296296296294,0.9074074074074074
Trump,F,2023,Hollyn,0.9532710280373832,0.04672897196261682,0.9065420560747663
Trump,F,2023,Hollis,0.9528301886792453,0.04716981132075472,0.9056603773584906
Trump,F,2023,Madalynn,0.9496402877697842,0.050359712230215826,0.8992805755395683
Trump,M,2023,Kace,0.9439252336448598,0.056074766355140186,0.8878504672897196
Trump,M,2023,Korbyn,0.936,0.064,0.8720000000000001
Trump,M,2023,Gatlin,0.9350180505415162,0.06498194945848375,0.8700361010830324
Trump,F,2023,Hadleigh,0.935,0.065,0.8700000000000001
Trump,M,2023,Kamdyn,0.9339622641509434,0.0660377358490566,0.8679245283018868
Trump,M,2023,Kooper,0.930379746835443,0.06962025316455696,0.860759493670886
Trump,M,2023,Kolson,0.9281767955801105,0.0718232044198895,0.8563535911602209
Trump,M,2023,Kolter,0.9266666666666666,0.07333333333333333,0.8533333333333333
Trump,F,2023,Wrenleigh,0.9182692307692307,0.08173076923076923,0.8365384615384615
Trump,F,2023,Berkley,0.9175627240143369,0.08243727598566308,0.8351254480286738
Harris,F,1983,Leilani,0.088,0.912,-0.8240000000000001
Harris,F,1983,Mai,0.10891089108910891,0.8910891089108911,-0.7821782178217822
Harris,M,1983,Liam,0.13333333333333333,0.8666666666666667,-0.7333333333333334
Harris,M,1983,Cristian,0.136,0.864,-0.728
Harris,F,1983,Carina,0.1404494382022472,0.8595505617977528,-0.7191011235955056
Harris,F,1983,Giselle,0.1524390243902439,0.8475609756097561,-0.6951219512195121
Harris,M,1983,Wilfredo,0.16167664670658682,0.8383233532934131,-0.6766467065868262
Harris,M,1983,Osvaldo,0.16279069767441862,0.8372093023255814,-0.6744186046511629
Harris,F,1983,Damaris,0.16964285714285715,0.8303571428571429,-0.6607142857142858
Harris,F,1983,Jasmin,0.17586206896551723,0.8241379310344827,-0.6482758620689655
Harris,F,1983,Ariana,0.17964071856287425,0.8203592814371258,-0.6407185628742516
Harris,F,1983,Lily,0.18120805369127516,0.8187919463087249,-0.6375838926174497
Harris,F,1983,Rosalie,0.18518518518518517,0.8148148148148148,-0.6296296296296295
Harris,F,1983,Jazmin,0.18518518518518517,0.8148148148148148,-0.6296296296296295
Harris,F,1983,Siobhan,0.1858974358974359,0.8141025641025641,-0.6282051282051282
Harris,F,1983,Malia,0.19047619047619047,0.8095238095238095,-0.6190476190476191
Harris,F,1983,Annmarie,0.19285714285714287,0.8071428571428572,-0.6142857142857143
Harris,F,1983,Lisette,0.20300751879699247,0.7969924812030075,-0.593984962406015
Harris,F,1983,Eunice,0.20388349514563106,0.7961165048543689,-0.5922330097087378
Harris,F,1983,Zoe,0.20512820512820512,0.7948717948717948,-0.5897435897435896
Harris,F,1993,Chaya,0.024271844660194174,0.9757281553398058,-0.9514563106796117
Harris,M,1993,Moshe,0.03571428571428571,0.9642857142857143,-0.9285714285714286
Harris,F,1993,Fiona,0.1,0.9,-0.8
Harris,F,1993,Malia,0.10434782608695652,0.8956521739130435,-0.791304347826087
Harris,M,1993,Kai,0.125,0.875,-0.75
Harris,M,1993,Fredy,0.14150943396226415,0.8584905660377359,-0.7169811320754718
Harris,M,1993,Male,0.14166666666666666,0.8583333333333333,-0.7166666666666666
Harris,M,1993,Elvis,0.14634146341463414,0.8536585365853658,-0.7073170731707317
Harris,M,1993,Edgardo,0.15517241379310345,0.8448275862068966,-0.6896551724137931
Harris,F,1993,Kenia,0.17687074829931973,0.8231292517006803,-0.6462585034013606
Harris,F,1993,Joana,0.17880794701986755,0.8211920529801324,-0.6423841059602649
Harris,F,1993,Leilani,0.18125,0.81875,-0.6375
Harris,M,1993,Jovani,0.18867924528301888,0.8113207547169812,-0.6226415094339623
Harris,M,1993,Freddy,0.19155844155844157,0.8084415584415584,-0.6168831168831168
Harris,M,1993,Ulises,0.19254658385093168,0.8074534161490683,-0.6149068322981366
